[Thu Oct 27 16:03:34.408726 2016] [authz_core:error] [pid 7596:tid 1136] [client 127.0.0.1:9199] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 17:49:06.064753 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11165] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:49:06.064753 2016] [authz_core:error] [pid 7900:tid 1120] [client 127.0.0.1:11168] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:49:06.064753 2016] [authz_core:error] [pid 7900:tid 1120] [client 127.0.0.1:11168] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:49:06.064753 2016] [authz_core:error] [pid 7900:tid 1120] [client 127.0.0.1:11168] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:52:41.564792 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11222] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 17:52:41.565296 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11222] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 17:52:43.070897 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11222] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:52:43.070897 2016] [authz_core:error] [pid 7900:tid 1120] [client 127.0.0.1:11223] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:52:43.071396 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11222] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:52:43.074906 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11222] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:52:44.092165 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11222] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:52:44.092665 2016] [authz_core:error] [pid 7900:tid 1120] [client 127.0.0.1:11223] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:52:44.092665 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11222] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:52:44.093165 2016] [authz_core:error] [pid 7900:tid 1120] [client 127.0.0.1:11223] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:52:44.093666 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11222] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:52:44.093666 2016] [authz_core:error] [pid 7900:tid 1120] [client 127.0.0.1:11223] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:52:44.097471 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:11222] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:53:58.400085 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11270] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 17:53:58.400586 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11270] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 17:54:00.022937 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11270] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:54:00.023437 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:11271] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:54:00.023437 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11270] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:54:00.026439 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11270] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:54:00.904813 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11270] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:00.905313 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:11271] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:00.905313 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11270] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:00.905813 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:11271] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:00.905813 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11270] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:00.906313 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:11271] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:00.906313 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11270] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:38.091428 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 17:54:38.091928 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 17:54:39.480096 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:54:39.480096 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:54:39.480590 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:54:39.483595 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 17:54:40.207674 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:40.208174 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:40.208174 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:40.208675 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:40.208675 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:40.209176 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:40.209676 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.205359 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.205859 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.206359 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.206359 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.206865 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.206865 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.207361 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.495996 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.496497 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.496497 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.496997 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.497507 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.497507 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.497998 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.684597 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.684597 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.685087 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.685588 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.685588 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.686089 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.686089 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.819783 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.820272 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.820772 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.820772 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.821773 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.822273 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:42.822273 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.041312 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.041812 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.041812 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.042318 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.042813 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.042813 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.043314 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.164752 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.165253 2016] [authz_core:error] [pid 7900:tid 1140] [client 127.0.0.1:11294] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.165253 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.165753 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.166253 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.166253 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 17:54:43.166757 2016] [authz_core:error] [pid 7900:tid 1084] [client 127.0.0.1:11291] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:19:38.335798 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:12820] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:19:38.336300 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:12820] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:19:38.336808 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:12820] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:19:38.337301 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:12820] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:19:38.337802 2016] [authz_core:error] [pid 7900:tid 1108] [client 127.0.0.1:12821] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:19:38.338301 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:12820] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:19:38.338301 2016] [authz_core:error] [pid 7900:tid 1132] [client 127.0.0.1:12820] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:31:57.023346 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 18:31:57.026848 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/
[Thu Oct 27 18:31:58.441015 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 18:31:58.441015 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 18:31:58.441015 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 18:31:58.445518 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
[Thu Oct 27 18:31:59.532689 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:31:59.533190 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:31:59.533701 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:31:59.534879 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:31:59.535890 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:31:59.536881 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 18:31:59.537890 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:13384] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:17:04.471408 2016] [authz_core:error] [pid 7900:tid 1104] [client 127.0.0.1:14974] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:17:04.471912 2016] [authz_core:error] [pid 7900:tid 1104] [client 127.0.0.1:14974] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:17:04.472410 2016] [authz_core:error] [pid 7900:tid 1104] [client 127.0.0.1:14974] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:17:04.472909 2016] [authz_core:error] [pid 7900:tid 1104] [client 127.0.0.1:14974] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:17:04.474914 2016] [authz_core:error] [pid 7900:tid 1104] [client 127.0.0.1:14974] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:17:04.476919 2016] [authz_core:error] [pid 7900:tid 1104] [client 127.0.0.1:14974] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:17:04.478414 2016] [authz_core:error] [pid 7900:tid 1104] [client 127.0.0.1:14974] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:20:06.739733 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:15068] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:20:06.740735 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:15068] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:20:06.742238 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:15068] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:20:06.743737 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:15068] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:20:06.744239 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:15068] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:20:06.745240 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:15068] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:20:06.745240 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:15068] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/myphp/
[Thu Oct 27 19:20:08.684124 2016] [authz_core:error] [pid 7900:tid 1124] [client 127.0.0.1:15068] AH01630: client denied by server configuration: C:/Apache24, referer: http://127.0.0.1/www/
